"time","prev_time","pause_mean","pause_cnt","pause_cnt1s","pause_ratio","pause_ratio1s","event_cnt","event_keyboard_cnt","event_mouse_cnt","event_focus_cnt","event_browser_cnt","src_id","ui_id","tgt_len","user_id","edit_distance","rank"
"140622","408005","1353.16455696","79","22","0.76019399525","0.563880473895","379","242","126","11","0","15","1","21","3","12","16"
"276505","140622","2351.58653846","104","33","0.884486718143","0.747501853493","427","219","193","15","0","16","1","22","3","14","13"
"308002","276505","1770.53472222","144","44","0.827777092357","0.65872948877","584","358","211","11","4","17","1","46","3","36","15"
"291196","308002","2015.304","125","40","0.865097734859","0.70992046594","585","246","317","22","0","18","1","29","3","18","10"
"179039","291196","1562.10309278","97","29","0.846318399902","0.632711308709","374","175","188","11","0","19","1","28","3","16","5"
"53744","179039","1134.625","32","6","0.675573087228","0.42319142602","193","99","91","3","0","20","1","10","3","9","13"
"162752","53744","1638.44871795","78","21","0.78523766221","0.602757569799","398","190","196","11","1","21","1","23","3","17","14"
"110844","162752","1620.43859649","57","11","0.833288224893","0.632654902385","272","110","151","11","0","22","1","14","3","5","9"
"197425","110844","2080.02409639","83","34","0.874468785615","0.738822337597","365","160","188","17","0","23","1","15","3","9","11"
"178476","197425","1600.24210526","95","26","0.851783993366","0.644282704677","377","157","203","17","0","24","1","22","3","18","13"
